,precision,recall,f1-score,support
0,1.0,1.0,1.0,2.0
1,0.75,1.0,0.86,9.0
2,0.0,0.0,0.0,3.0
micro avg,0.79,0.79,0.79,14.0
macro avg,0.58,0.67,0.62,14.0
weighted avg,0.62,0.79,0.69,14.0
samples avg,0.81,0.81,0.79,14.0
